artist,album,year,winner,Decade,sentiment
Richard Rodgers,The Sound of Music (Original Soundtrack Recording),1966,0,60s,72
Pink Floyd,The Wall,1981,0,80s,-31
Paul Simon,There Goes Rhymin' Simon,1974,0,70s,145
Vince Gill,These Days,2008,0,00s,48
Paula Cole,This Fire,1998,0,90s,-11
Kendrick Lamar,To Pimp a Butterfly,2016,0,10s,-199
Tracy Chapman,Tracy Chapman,1989,0,80s,46
The Traveling Wilburys,Traveling Wilburys Vol 1,1990,0,90s,57
Chris Stapleton,Traveller,2016,0,10s,-18
Frank Sinatra,Trilogy Past Present Future,1981,0,80s,158
Dolly Parton Linda Ronstadt and Emmylou Harris,Trio,1988,0,80s,12
Paul McCartney,Tug of War,1983,0,80s,81
Missy Elliott,Under Construction,2004,0,00s,-12
Garbage,Version 2 0,1999,0,90s,-34
Drake,Views,2017,0,10s,182
Pearl Jam,Vitalogy,1996,0,90s,4
Coldplay,Viva la Vida or Death and All His Friends,2009,0,00s,-11
Various Artists,Waiting to Exhale Original Soundtrack Album,1997,0,90s,23
Foo Fighters,Wasting Light,2012,0,10s,-45
USA for Africa,We Are the World,1986,0,80s,25
Diana Krall,When I Look in Your Eyes,2e3,0,00s,16
Whitney Houston,Whitney,1988,0,80s,85
Whitney Houston,Whitney Houston,1986,0,80s,132
Nat King Cole,Wild is Love,1961,0,60s,49
Wilson Phillips,Wilson Phillips,1991,0,90s,-3
Ed Sheeran,X Multiply,2015,0,10s,44
Ne Yo,Year of the Gentleman,2009,0,00s,43
Paul Simon,You're the One,2001,0,00s,37
Kacey Musgraves,Golden Hour,2019,1,10s,22
Cardi B,Invasion of Privacy,2019,0,10s,-72
Brandi Carlile,By The Way I Forgive You,2019,0,10s,-46
Drake,Scorpion,2019,0,10s,-32
Her,H E R,2019,0,10s,91
Post Malone,Beerbongs Bentleys,2019,0,10s,-9
Janelle Monae,Dirty Computer,2019,0,10s,34
Kendrick Lamar The Weeknd and SZA,Black Panther The Album Music from and Inspired By,2019,0,10s,-89
